gene,feature_type
Xkr4,Gene Expression
Gm1992,Gene Expression
Gm37381,Gene Expression
Rp1,Gene Expression
Sox17,Gene Expression
Gm37323,Gene Expression
Mrpl15,Gene Expression
Lypla1,Gene Expression
Gm37988,Gene Expression
Tcea1,Gene Expression
Rgs20,Gene Expression
Gm16041,Gene Expression
Atp6v1h,Gene Expression
Oprk1,Gene Expression
Npbwr1,Gene Expression
Rb1cc1,Gene Expression
4732440D04Rik,Gene Expression
Alkal1,Gene Expression
St18,Gene Expression
Pcmtd1,Gene Expression
Gm26901,Gene Expression
Gm30414,Gene Expression
Sntg1,Gene Expression
Rrs1,Gene Expression
Adhfe1,Gene Expression
3110035E14Rik,Gene Expression
Gm29520,Gene Expression
Mybl1,Gene Expression
Vcpip1,Gene Expression
1700034P13Rik,Gene Expression
Sgk3,Gene Expression
Mcmdc2,Gene Expression
Snhg6,Gene Expression
Tcf24,Gene Expression
Ppp1r42,Gene Expression
Gm15818,Gene Expression
Cops5,Gene Expression
Cspp1,Gene Expression
Arfgef1,Gene Expression
Cpa6,Gene Expression
Prex2,Gene Expression
A830018L16Rik,Gene Expression
Gm17644,Gene Expression
Gm29663,Gene Expression
Sulf1,Gene Expression
Slco5a1,Gene Expression
Gm29283,Gene Expression
Prdm14,Gene Expression
Ncoa2,Gene Expression
Gm29570,Gene Expression
Tram1,Gene Expression
Lactb2,Gene Expression
Xkr9,Gene Expression
Eya1,Gene Expression
Gm9947,Gene Expression
Msc,Gene Expression
Trpa1,Gene Expression
Kcnb2,Gene Expression
Terf1,Gene Expression
Sbspon,Gene Expression
4930444P10Rik,Gene Expression
Rpl7,Gene Expression
Rdh10,Gene Expression
Gm28095,Gene Expression
Stau2,Gene Expression
Gm7568,Gene Expression
Ube2w,Gene Expression
Eloc,Gene Expression
D030040B21Rik,Gene Expression
Tmem70,Gene Expression
Ly96,Gene Expression
Gm28376,Gene Expression
Jph1,Gene Expression
Gm28783,Gene Expression
Gdap1,Gene Expression
Gm28784,Gene Expression
Pi15,Gene Expression
Gm28154,Gene Expression
Gm16070,Gene Expression
Crispld1,Gene Expression
Gm28153,Gene Expression
Crisp4,Gene Expression
Defb18,Gene Expression
Defb41,Gene Expression
Gm15825,Gene Expression
Tfap2d,Gene Expression
Tfap2b,Gene Expression
Gm28340,Gene Expression
Pkhd1,Gene Expression
4930486I03Rik,Gene Expression
Gm28653,Gene Expression
Il17a,Gene Expression
Il17f,Gene Expression
Mcm3,Gene Expression
Gm28065,Gene Expression
6720483E21Rik,Gene Expression
Paqr8,Gene Expression
Efhc1,Gene Expression
Tram2,Gene Expression
Gm28287,Gene Expression
Tmem14a,Gene Expression
Gsta3,Gene Expression
Gm28836,Gene Expression
Khdc1a,Gene Expression
Khdc1c,Gene Expression
Khdc1b,Gene Expression
Kcnq5,Gene Expression
Gm26580,Gene Expression
Rims1,Gene Expression
4933415F23Rik,Gene Expression
Gm27028,Gene Expression
Gm29107,Gene Expression
Ogfrl1,Gene Expression
Gm28822,Gene Expression
B3gat2,Gene Expression
Smap1,Gene Expression
Sdhaf4,Gene Expression
Fam135a,Gene Expression
Col9a1,Gene Expression
Col19a1,Gene Expression
Lmbrd1,Gene Expression
Gm28237,Gene Expression
Gm29414,Gene Expression
Adgrb3,Gene Expression
4931408C20Rik,Gene Expression
Gm5524,Gene Expression
Gm597,Gene Expression
Gm9898,Gene Expression
Phf3,Gene Expression
Ptp4a1,Gene Expression
Gm29669,Gene Expression
Gm28644,Gene Expression
4931428L18Rik,Gene Expression
Gm29128,Gene Expression
Lgsn,Gene Expression
Pih1d3,Gene Expression
Khdrbs2,Gene Expression
Gm5415,Gene Expression
Gm37724,Gene Expression
Gm37591,Gene Expression
Prim2,Gene Expression
Rab23,Gene Expression
Bag2,Gene Expression
Zfp451,Gene Expression
Bend6,Gene Expression
Dst,Gene Expression
Gm37958,Gene Expression
Gm37233,Gene Expression
Ccdc115,Gene Expression
Gm28306,Gene Expression
Imp4,Gene Expression
Ptpn18,Gene Expression
4930568A12Rik,Gene Expression
Prss39,Gene Expression
Cfc1,Gene Expression
Prss40,Gene Expression
1700101I19Rik,Gene Expression
Amer3,Gene Expression
Arhgef4,Gene Expression
Gm38336,Gene Expression
Fam168b,Gene Expression
Plekhb2,Gene Expression
Gm37068,Gene Expression
Gm28415,Gene Expression
1110002O04Rik,Gene Expression
Gm37146,Gene Expression
Gm33222,Gene Expression
4930535G08Rik,Gene Expression
Hs6st1,Gene Expression
Gm37335,Gene Expression
Gm33280,Gene Expression
Uggt1,Gene Expression
Neurl3,Gene Expression
